,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r3,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r3,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r3,0,500000,0
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r3,0,273065,212910
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r3,0,296082,191536
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r3,0,249840,232739
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r3,0,268344,217121
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r3,0,250081,236783
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r3,0,258721,228762
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r3,0,300102,187299
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r3,0,251125,234328
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r3,0,273666,213927
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r3,0,486996,8831
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r3,0,274501,210870
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r3,0,499940,60
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r3,0,259893,224911
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r3,0,297055,192819
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r3,0,281175,208334
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r3,0,250163,238610
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r3,0,252824,238091
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r3,0,256540,233370
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r3,0,290502,197212
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r3,0,249694,239733
