,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r4,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r4,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r4,0,408664,61995
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r4,0,500000,0
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r4,0,395786,82415
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r4,0,441824,29115
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r4,0,322496,148599
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r4,0,297618,174978
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r4,0,330040,143577
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r4,0,368746,105993
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r4,0,386984,86240
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r4,0,362910,111175
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r4,0,426308,50988
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r4,0,319467,156493
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r4,0,464454,10932
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r4,0,300424,169863
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r4,0,344586,132221
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r4,0,384634,86420
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r4,0,260988,206249
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r4,0,360302,109980
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r4,0,259404,211094
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r4,0,268187,201254
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r4,0,437108,39853
