,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r8,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r8,0,95910,375911
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r8,0,8629,463100
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r8,0,3380,470941
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r8,0,28416,450617
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r8,0,2137,466731
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r8,0,48127,432516
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r8,0,438,479500
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r8,0,2137,472163
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r8,0,10757,468372
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r8,0,1395,473182
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r8,0,1204,477580
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r8,0,287880,194148
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r8,0,38260,439224
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r8,0,67335,404612
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r8,0,64316,411564
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r8,0,5104,474565
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r8,0,2066,479766
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r8,0,689,472486
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r8,0,55156,425379
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r8,0,5378,471946
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r8,0,31598,446022
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r8,0,22919,454047
