,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r11,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r11,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r11,0,56895,418305
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r11,0,499952,48
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r11,0,193303,287139
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r11,0,301898,173093
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r11,0,133710,340254
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r11,0,127429,350139
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r11,0,160063,317995
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r11,0,229381,250024
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r11,0,87234,383000
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r11,0,493467,5635
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r11,0,444235,35526
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r11,0,401835,76742
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r11,0,468472,11878
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r11,0,464068,32671
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r11,0,365554,134446
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r11,0,269634,206328
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r11,0,12811,461899
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r11,0,499877,101
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r11,0,376822,99167
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r11,0,453073,30036
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r11,0,200950,274052
