,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r5,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r5,0,142024,321260
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r5,0,500000,0
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r5,0,21956,437170
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r5,0,283204,186218
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r5,0,2457,450681
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r5,0,26584,431765
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r5,0,7957,455693
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r5,0,40542,422348
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r5,0,55294,410293
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r5,0,14299,445508
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r5,0,22295,441552
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r5,0,492514,4999
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r5,0,57623,407789
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r5,0,491629,8274
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r5,0,22199,434810
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r5,0,52943,416034
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r5,0,11461,457932
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r5,0,14970,447643
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r5,0,17610,451104
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r5,0,13766,450165
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r5,0,83374,377706
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r5,0,575,466214
