,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r12,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r12,0,0,478431
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r12,0,6213,477541
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r12,0,40179,441393
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r12,0,12491,472598
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r12,0,0,479674
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r12,0,20,482585
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r12,0,212,482830
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r12,0,0,477692
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r12,0,5,484420
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r12,0,89,481536
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r12,0,1213,483083
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r12,0,63,483005
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r12,0,25544,459413
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r12,0,31666,448336
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r12,0,0,476049
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r12,0,0,474581
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r12,0,0,483971
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r12,0,7,481741
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r12,0,0,484943
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r12,0,0,481021
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r12,0,0,474767
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r12,0,0,484372
