,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r1,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r1,0,262836,216965
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r1,0,430790,52897
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r1,0,253740,227667
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r1,0,250626,231884
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r1,0,282336,197134
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r1,0,251606,229766
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r1,0,249849,235023
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r1,0,306529,181460
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r1,0,314275,173082
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r1,0,254381,231135
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r1,0,261475,226456
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r1,0,252154,235502
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r1,0,265577,218643
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r1,0,252489,233392
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r1,0,250592,229455
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r1,0,263792,226695
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r1,0,249842,239273
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r1,0,249795,236577
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r1,0,249791,237549
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r1,0,251879,235851
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r1,0,253053,230928
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r1,0,251971,233568
