,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r7,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r7,0,185092,281168
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r7,0,12165,453547
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r7,0,3250,462930
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r7,0,23898,450059
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r7,0,3316,461549
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r7,0,85991,392357
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r7,0,276,475562
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r7,0,2525,469373
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r7,0,16689,458472
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r7,0,1701,466178
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r7,0,1557,471264
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r7,0,341743,135780
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r7,0,87558,388336
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r7,0,109807,361163
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r7,0,109670,363101
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r7,0,13104,468660
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r7,0,2696,476137
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r7,0,801,469329
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r7,0,79704,401706
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r7,0,8272,465050
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r7,0,84295,390197
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r7,0,56424,416358
