,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r10,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r10,0,9804,468810
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r10,0,55558,427129
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r10,0,2547,475389
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r10,0,10181,470019
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r10,0,1120,474575
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r10,0,82,479240
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r10,0,6858,472941
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r10,0,516,476976
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r10,0,5,480491
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r10,0,151,477987
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r10,0,23482,460107
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r10,0,116,481086
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r10,0,12866,467893
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r10,0,95333,385813
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r10,0,0,471359
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r10,0,0,474460
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r10,0,0,482801
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r10,0,8,479660
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r10,0,0,482874
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r10,0,0,479281
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r10,0,0,471485
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r10,0,0,478784
