,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r6,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r6,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r6,0,372292,100017
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r6,0,292944,185542
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r6,0,499819,181
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r6,0,333433,140798
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r6,0,178791,287671
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r6,0,340559,142678
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r6,0,286093,185813
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r6,0,267850,203494
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r6,0,357018,111111
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r6,0,353216,126388
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r6,0,418879,53462
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r6,0,468244,20833
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r6,0,467065,16471
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r6,0,417227,51711
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r6,0,218438,267044
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r6,0,395518,75172
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r6,0,73344,386500
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r6,0,84179,386781
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r6,0,142759,319984
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r6,0,17189,440563
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r6,0,153592,305862
