,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r9,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r9,0,14886,466084
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r9,0,1554,480680
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r9,0,380,480513
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r9,0,5090,477853
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r9,0,25677,454118
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r9,0,211,479809
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r9,0,256,481899
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r9,0,836,479191
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r9,0,32,483851
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r9,0,1193,477334
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r9,0,152135,335120
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r9,0,64,481486
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r9,0,47112,433482
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r9,0,14466,458718
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r9,0,2,468769
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r9,0,0,472217
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r9,0,0,479834
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r9,0,28,477516
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r9,0,0,480455
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r9,0,7,477369
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r9,0,1,470077
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r9,0,0,477557
