,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r1,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r1,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r1,0,478482,10451
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r1,0,350788,128834
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r1,0,439660,41191
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r1,0,296055,181751
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r1,0,266326,214594
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r1,0,325013,158689
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r1,0,391151,93323
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r1,0,402380,80681
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r1,0,329483,151150
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r1,0,263833,222923
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r1,0,452809,28969
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r1,0,480741,10499
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r1,0,396157,88322
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r1,0,428745,54971
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r1,0,294975,194165
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r1,0,451266,36902
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r1,0,272793,212265
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r1,0,380531,105847
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r1,0,254730,230424
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r1,0,374299,107686
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r1,0,264351,218841
