,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r12,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r12,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r12,0,500000,0
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r12,0,26701,452196
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r12,0,15314,465773
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r12,0,11975,471258
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r12,0,4472,475019
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r12,0,3492,480724
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r12,0,2602,476085
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r12,0,9296,474065
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r12,0,2040,477816
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r12,0,3162,477120
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r12,0,32399,450170
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r12,0,3061,476679
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r12,0,1180,473694
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r12,0,5698,468391
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r12,0,17542,463283
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r12,0,1014,483242
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r12,0,2273,478018
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r12,0,97092,390069
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r12,0,1771,478177
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r12,0,32325,444916
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r12,0,264,477642
