,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r3,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r3,0,249677,237753
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r3,0,500000,0
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r3,0,249675,236802
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r3,0,250681,237501
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r3,0,249675,237477
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r3,0,249715,237152
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r3,0,249688,237964
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r3,0,249699,237901
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r3,0,249673,238757
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r3,0,255379,232434
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r3,0,253971,235176
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r3,0,249712,238973
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r3,0,256500,231775
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r3,0,263266,223912
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r3,0,249673,236293
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r3,0,249675,238507
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r3,0,249673,239520
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r3,0,250826,238029
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r3,0,249673,240354
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r3,0,249686,240549
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r3,0,249673,238118
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r3,0,249673,240485
