,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r8,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r8,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r8,0,500000,0
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r8,0,199611,274993
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r8,0,493323,5812
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r8,0,236141,238636
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r8,0,117501,356973
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r8,0,496443,3077
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r8,0,362853,115999
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r8,0,238091,236632
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r8,0,393969,83922
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r8,0,179430,301651
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r8,0,420352,56288
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r8,0,489252,9940
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r8,0,458081,25061
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r8,0,478827,13647
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r8,0,125891,354856
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r8,0,390251,89105
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r8,0,73831,398491
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r8,0,47719,429054
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r8,0,191951,283232
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r8,0,14791,457742
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r8,0,134565,336820
