,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r6,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r6,0,99590,372938
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r6,0,166335,318526
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r6,0,24274,441404
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r6,0,80366,391951
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r6,0,118,469428
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r6,0,912,467802
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r6,0,378,472260
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r6,0,215,470908
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r6,0,75,475512
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r6,0,780,471285
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r6,0,60360,417744
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r6,0,1952,470018
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r6,0,92789,382547
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r6,0,71884,397782
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r6,0,0,460075
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r6,0,5,463605
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r6,0,1,471764
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r6,0,29816,442665
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r6,0,0,468988
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r6,0,62,466426
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r6,0,16,462744
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r6,0,0,468774
