,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r8,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r8,0,41815,432169
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r8,0,1866,473940
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r8,0,13238,463591
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r8,0,69191,413958
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r8,0,447,475749
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r8,0,284,476011
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r8,0,395,478906
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r8,0,509,474789
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r8,0,226,481093
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r8,0,1190,478475
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r8,0,149295,337288
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r8,0,40,480226
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r8,0,10346,467853
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r8,0,16114,457802
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r8,0,0,471075
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r8,0,0,472753
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r8,0,0,480449
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r8,0,44914,433189
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r8,0,0,479335
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r8,0,8,476943
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r8,0,0,471951
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r8,0,0,477193
