,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-02_r2,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-02_r2,0,299883,182053
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-02_r2,0,434446,60373
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-02_r2,0,251460,235051
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-02_r2,0,250081,236109
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-02_r2,0,252588,229693
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-02_r2,0,255027,232160
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-02_r2,0,249721,238389
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-02_r2,0,306869,183077
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-02_r2,0,273484,215585
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-02_r2,0,250911,237062
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-02_r2,0,267710,221604
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-02_r2,0,258673,229809
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-02_r2,0,267812,220216
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-02_r2,0,256887,232850
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-02_r2,0,251721,231686
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-02_r2,0,291314,198955
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-02_r2,0,250251,239912
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-02_r2,0,249739,239371
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-02_r2,0,249745,240124
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-02_r2,0,249937,238715
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-02_r2,0,254174,232518
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-02_r2,0,249829,238164
