,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r7,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r7,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r7,0,464141,27167
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r7,0,152051,314442
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r7,0,491218,6499
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r7,0,230264,242479
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r7,0,99157,370538
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r7,0,452367,43326
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r7,0,335779,139919
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r7,0,211861,257367
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r7,0,380654,91068
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r7,0,262127,215378
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r7,0,419385,51352
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r7,0,488023,10084
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r7,0,462363,20645
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r7,0,452657,28173
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r7,0,109957,370347
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r7,0,410016,67679
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r7,0,49715,417875
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r7,0,25430,446710
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r7,0,191713,278543
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r7,0,17475,449190
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r7,0,67480,397456
