,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r9,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r9,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r9,0,500000,0
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r9,0,306359,172456
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r9,0,497845,2155
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r9,0,423727,56597
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r9,0,210696,267355
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r9,0,485225,11267
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r9,0,358823,123474
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r9,0,341004,137155
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r9,0,411508,64312
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r9,0,262753,220141
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r9,0,434841,43007
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r9,0,480969,15888
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r9,0,467066,17328
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r9,0,483987,9277
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r9,0,236741,247451
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r9,0,380303,96368
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r9,0,51999,421232
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r9,0,146181,331385
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r9,0,217161,257770
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r9,0,13657,457457
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r9,0,152610,319611
