,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r1,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r1,0,487665,4692
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r1,0,390728,98368
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r1,0,297878,186507
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r1,0,500000,0
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r1,0,249756,233969
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r1,0,253815,230178
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r1,0,268906,218535
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r1,0,249810,236317
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r1,0,251855,235452
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r1,0,249758,236989
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r1,0,249762,238842
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r1,0,253010,235617
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r1,0,249758,237904
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r1,0,285618,203666
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r1,0,249757,234915
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r1,0,249777,238694
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r1,0,251098,238108
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r1,0,250212,237755
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r1,0,252175,236488
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r1,0,249762,237899
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r1,0,261353,225176
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r1,0,250553,237727
